nama_tempat_wisata,kategori,preferensi,kecamatan,kabupaten_kota,rating,jumlah_rating,link,latitude,longitude,link_gambar
Saung Abah Jovi,Umum,Lainnya,Tamansari,Kabupaten Bogor,4.7,103.0,https://www.google.com/maps/place/Saung+Abah+Jovi/data=!4m7!3m6!1s0x2e69cfb7ab3d8cc9:0x25603169269541df!8m2!3d-6.6588155!4d106.7307401!16s%2Fg%2F11qg1kcvjz!19sChIJyYw9q7fPaS4R30GVJmkxYCU?authuser=0&hl=id&rclk=1,-6.6588155,106.7307401,https://lh3.googleusercontent.com/p/AF1QipO7rbh7gpI9fTFbu4OrBpUJlpW-p-gsvRiFqKqF=w1200-h800
Warung Kopi Pura Ciapus,Umum,Lainnya,Tamansari,Kabupaten Bogor,4.4,259.0,https://www.google.com/maps/place/Warung+Kopi+Pura+Ciapus/data=!4m7!3m6!1s0x2e69cfd1f011ceb1:0x93cefa2fa2330897!8m2!3d-6.6660736!4d106.7349181!16s%2Fg%2F11df81r9__!19sChIJsc4R8NHPaS4Rlwgzoi_6zpM?authuser=0&hl=id&rclk=1,-6.6660736,106.7349181,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz7MUYA3fTb2DhD2gDZeI3DVq8PsHj7CdSfLs1yNmsCApkC3czUiS66bGlvVuKhcJAXnxln9uXFhkwesVdf-G7EHnl35MWArFgbwsoswq7ZFsKfmYPMdJ41evPaLXxsiy40Msp8=w1200-h800
Bogor Treetop Zipline Adventure,Umum,Lainnya,Tamansari,Kabupaten Bogor,4.8,239.0,https://www.google.com/maps/place/Bogor+Treetop+Zipline+Adventure/data=!4m7!3m6!1s0x2e69cf3f2a035023:0x4b949cdb59feab80!8m2!3d-6.6687641!4d106.7283983!16s%2Fg%2F11n_tmwph9!19sChIJI1ADKj_PaS4RgKv-WduclEs?authuser=0&hl=id&rclk=1,-6.6687641,106.7283983,https://lh3.googleusercontent.com/p/AF1QipNPVZxSrVHN9HuxVGMzhyzT9j_NhWRHPhCNn-Jl=w1200-h800
Panorama Hjp Land ( Wisata Pasiran Tengah),Umum,Lainnya,Tamansari,Kabupaten Bogor,4.7,371.0,https://www.google.com/maps/place/Panorama+Hjp+Land+%28+Wisata+Pasiran+Tengah%29/data=!4m7!3m6!1s0x2e69cf5e50319183:0xacbd76b55c6017f5!8m2!3d-6.6706844!4d106.7600928!16s%2Fg%2F11s5576p80!19sChIJg5ExUF7PaS4R9RdgXLV2vaw?authuser=0&hl=id&rclk=1,-6.6706844,106.7600928,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwE7eKHrGafBggdAkS4-yuzW-_v20zIQt2iCwc-kbYgJhVvvz49CEr37DTpYEaX90uMbQUztEv55IIdA2V6miKWHTavx-R4Py5IYdRlfBdOYvp-TyZ54WJriJDpYtYz5ATNoRW-ig=w1200-h800
The Jungle Waterpark Bogor,Rekreasi,Wisata Rekreasi,Tamansari,Kabupaten Bogor,4.5,26473.0,https://www.google.com/maps/place/The+Jungle+Waterpark+Bogor/data=!4m7!3m6!1s0x2e69cf5deba619f3:0x485a13f031e8b904!8m2!3d-6.6344794!4d106.7949215!16s%2Fg%2F1ptxr7qkm!19sChIJ8xmm613PaS4RBLnoMfATWkg?authuser=0&hl=id&rclk=1,-6.6344794,106.7949215,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy21uduS5ZOS7X5O59mi8JnYLgBFdMijqqOXyDjoZIyeRYTZargZAEjQymxLUSiHHPlH6OhkAnMvoJopnjMksyoOR3Sz_kZAZtGJkSwYRHwjXVZ7vVWajZEFLCinr3RHs2zWQof=w1200-h800
Herman Lantang Camp,Umum,Lainnya,Tamansari,Kabupaten Bogor,4.7,394.0,https://www.google.com/maps/place/Herman+Lantang+Camp/data=!4m7!3m6!1s0x2e69cfd42e0f4aeb:0x40b9aa6c3f1fba0b!8m2!3d-6.667461!4d106.726525!16s%2Fg%2F11clhqx7p7!19sChIJ60oPLtTPaS4RC7ofP2yquUA?authuser=0&hl=id&rclk=1,-6.667461,106.726525,https://lh3.googleusercontent.com/p/AF1QipPtA2B-ATNAL-tIuu0L74bL68_yHKLDzoz3nbgh=w1200-h800
Telaga Batu,Umum,Lainnya,Tamansari,Kabupaten Bogor,4.5,572.0,https://www.google.com/maps/place/Telaga+Batu/data=!4m7!3m6!1s0x2e69d17dadbe4265:0xc82f69c2e586ea6d!8m2!3d-6.6972853!4d106.6930933!16s%2Fg%2F11hf88y6m8!19sChIJZUK-rX3RaS4RbeqG5cJpL8g?authuser=0&hl=id&rclk=1,-6.6972853,106.6930933,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzD5d8ZFA8U2Ih3eXMCkSbc2bqpg329eqkYJgLfZ2Z6ZR_wdSheLEBYgInLQYUUMcK6c6JN7NuioGZYRlwZBUsiVW1eNZlX_IsqLXHD2HeJ8mKwM41SVRP5Q5ucWLPYtWlrWBeu=w1200-h800
Kebon Camara Hejo,Umum,Lainnya,Tamansari,Kabupaten Bogor,4.6,260.0,https://www.google.com/maps/place/Kebon+Camara+Hejo/data=!4m7!3m6!1s0x2e69c57217fd51e9:0x32d3b66d7a679c27!8m2!3d-6.6220809!4d106.7420768!16s%2Fg%2F11rc1s8lw8!19sChIJ6VH9F3LFaS4RJ5xnem220zI?authuser=0&hl=id&rclk=1,-6.6220809,106.7420768,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzARxuTUs6OJ0n9urDOt7-Dz9Dx6NDUveIcpSefe3hCO2AViuZcVvWvXJbZKym1sWx-01YnpyPLCm1o2DGAiszAJchs_R4aXttfqW5E3WQ0fdRPK7GroI_wVfweDjIGwxD4oFSu=w1200-h800
Situ Tamansari,Alam,Wisata Alam,Tamansari,Kabupaten Bogor,4.4,2291.0,https://www.google.com/maps/place/Situ+Tamansari/data=!4m7!3m6!1s0x2e69cfbc3725ba6f:0x27fb72460353c648!8m2!3d-6.6535309!4d106.7540144!16s%2Fg%2F11b7dypskz!19sChIJb7olN7zPaS4RSMZTA0Zy-yc?authuser=0&hl=id&rclk=1,-6.6535309,106.7540144,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSywx3N8pAjs6zAALX07nzEu4uLrW9IymnTatchwZhLQ8XsgMXkSssMuSiIFoc01xUM3Vr0bHGUJrZq781y8Tx4aPV_c7_8RA0wSdSB3rVOwaRbgObVMZraIUoY2xM3CcxUR7gqK=w1200-h800
Air Terjun Curug Nangka,Alam,Wisata Alam,Tamansari,Kabupaten Bogor,4.3,7509.0,https://www.google.com/maps/place/Air+Terjun+Curug+Nangka/data=!4m7!3m6!1s0x2e69cfd5ab533c53:0xf6427641a4bf1129!8m2!3d-6.6690656!4d106.7264075!16s%2Fg%2F122cz8vh!19sChIJUzxTq9XPaS4RKRG_pEF2QvY?authuser=0&hl=id&rclk=1,-6.6690656,106.7264075,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyrkFzCgTcAAiGI3u7eh7quLUWNf87iX1KeOZmQqDN72__-lYrUbxU4Nzz_04Aiwn6GXcKIMbOoQfDSjAICyUz1hYFx0QuzXW_lF-OWiMA7Wy6cIecS8B6UKoWX4m80-e8OHv6wJQ=w1200-h800
Sungai Citiis,Alam,Wisata Alam,Tamansari,Kabupaten Bogor,4.4,116.0,https://www.google.com/maps/place/Sungai+Citiis/data=!4m7!3m6!1s0x2e69cfb4dcd89c87:0xc245aaffa3313d49!8m2!3d-6.6699677!4d106.7506786!16s%2Fg%2F11dxc10pzb!19sChIJh5zY3LTPaS4RST0xo_-qRcI?authuser=0&hl=id&rclk=1,-6.6699677,106.7506786,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylCzMtrm1R2lu_5Z16fTsSEmRtXn-8tXoRzz-_AHdxLN7oOCNLQFig3Af2PSwujZqZvkW1PdnHXM99vMt8U-RAG1pbyFbfvkkIIx4ooRSL-MHfMx2METik4FCvXv2QWU4VWSkK=w1200-h800
Kampung Budaya Sindang Barang,Budaya,Wisata Budaya & Edukasi,Tamansari,Kabupaten Bogor,4.4,178.0,https://www.google.com/maps/place/Kampung+Budaya+Sindang+Barang/data=!4m7!3m6!1s0x2e69cf78060b6285:0xc03168c713212377!8m2!3d-6.6302026!4d106.7617239!16s%2Fg%2F11mwk000sg!19sChIJhWILBnjPaS4RdyMhE8doMcA?authuser=0&hl=id&rclk=1,-6.6302026,106.7617239,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyn3qWL8-PVmvDZCXVwSb2Jq5yFyZhphIle2gTF7CVeOuulxdrWepazgcnJyqJeSUow0LldWkEb2zUHxDGYoqXLAk0tKj3h33wJIwX00hWamo0Iym85x53Spl3mi2KpUEbvU-EZ=w1200-h800
Green Canyon Karawang,Alam,Wisata Alam,Tanjungsari,Kabupaten Bogor,4.4,1013.0,https://www.google.com/maps/place/Green+Canyon+Karawang/data=!4m7!3m6!1s0x2e69a5481469271f:0x31919e68346b47f7!8m2!3d-6.5427636!4d107.1778331!16s%2Fg%2F11h7fk8nf0!19sChIJHydpFEilaS4R90drNGiekTE?authuser=0&hl=id&rclk=1,-6.5427636,107.1778331,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzqXZPapSEJLrzEWmKlsYuAwx-fAJ3yYkdaQB3GoWFYPXgwgMDcAGVaxSXP09GK8kd4xh8MypMTbbV9m7-6nMvlItlTaQ039SfWP_9LZG25mLRqTtI49awMRhm3zgMZdtKAl_-Okw=w1200-h800
